META,CODE,CODE_Link,SUBCODE,SUBCODE_Link,DESCRIPTION
Visual Techniques,Animating,,Time-series animation,,Animation that visualizes changes to a variable in a time series
Visual Techniques,,,Transition animation,,Animation of transitions that are bound to data: the view changes because a variable in the data or metadata change.
Visual Techniques,,,Educational animation,,Animated sequence that explain complex ideas through a series of images
Interaction Techniques,Navigating,,,,"Position, magnify or reduce a view of a visualization"
Interaction Techniques,Brushing and Linking,,,,"Brushing (selecting a subset of the data items with an input device) one portion of a visualization that is linked corresponding changes in another part, showing how a point, or set of points, behaves in each of the plots."
Interaction Techniques,Filtering,,,,"Filter(s) enable users to change the set of data items being presented based on some specific conditions, so that only data items meeting those criteria are presented."
Interaction Techniques,Mouseover,,,,"Mouseover or mouse click on a data element (line, bar, geographic area) displays additional information about that selection within the visualization."
Subject,Communicate Medical State,,Medical Magnitude,,"Focus on numbers of cases, hospitalizations, deaths, recoveries from the disease"
Subject,,,Medical Supplies,,"Focus on quantity of supplies or resources related to managing public health including PPE, Masks, Hospitals, ICU beds, COVID-19 tests, vaccines"
Subject,Communicate Non-Medical State,,Non-Medical Economic,,"Pandemic impact on economic values such as unemployment, price of oil, loss or gain by industry or country"
Subject,,,Non-Medical Social,,"Pandemic impact on social factors in the world, regions or countries such as mobility, online behavior, political behaviour, social justice"
Subject,,,Non-Medical Environmental,,"Pandemic impact on environmental factors such as air, water, wildlife"
Subject,Communicate Risk,,Risk Historical,,relationship for risk from current pandemic in relation to historical pandemic events
Subject,,,Risk Future Model,,Predicting future trends and influences based on simulation and modeling
Subject,,,Risk Flatten the Curve,,"Methods and specific guidelines that will reduce current risks of infection in your region, area, workplace, home as well as reports of the success or failure of these methods"
Subject,Other,,Transmission and Infection,,Focus on describing how Covid-19 is transmitted and how it infects a population
Subject,,,Biomedical Research,,"descriptions of biomedical research such as virology, pharmacology, disease behavior, clinical practice, vaccine development, inteded for a professional audience"
Subject,,,Data Viz Advice,,Advice or critique meant for the data visualization community
Subject,Notes,,,,"Special features, other language versions in addition to primary language, any insights, etc."
